Date,Price,Open,High,Low,Vol.,Change %,Close,Return_t,Return_next,Direction_next,Return_t-1,Return_t-2,ticker,category,title,description,impact_sign,impact_label,event_count,event_today
2/24/2025,5.85,5.85,5.89,5.82,1.05M,0.69%,5.85,0.00686109,0.01020417,1,-0.01537178,-0.006756782,,,,,0,neutral,0,0
2/25/2025,5.91,5.85,5.91,5.83,374.43K,1.03%,5.91,0.01020417,-0.001693481,0,0.00686109,-0.01537178,,,,,0,neutral,0,0
2/26/2025,5.9,5.91,5.91,5.85,373.53K,-0.17%,5.9,-0.001693481,0.005071862,1,0.01020417,0.00686109,,,,,0,neutral,0,0
2/27/2025,5.93,5.88,5.94,5.86,104.28K,0.51%,5.93,0.005071862,-0.005071862,0,-0.001693481,0.01020417,,,,,0,neutral,0,0
2/28/2025,5.9,5.96,6,5.9,443.61K,-0.51%,5.9,-0.005071862,0.003384098,1,0.005071862,-0.001693481,,,,,0,neutral,0,0
3/3/2025,5.92,5.9,5.97,5.87,152.88K,0.34%,5.92,0.003384098,-0.020478531,0,-0.005071862,0.005071862,,,,,0,neutral,0,0
3/4/2025,5.8,5.92,5.94,5.8,342.97K,-2.03%,5.8,-0.020478531,0.010291686,1,0.003384098,-0.005071862,,,,,0,neutral,0,0
3/5/2025,5.86,5.84,5.9,5.82,258.37K,1.03%,5.86,0.010291686,0.010186845,1,-0.020478531,0.003384098,,,,,0,neutral,0,0
3/6/2025,5.92,5.86,5.93,5.86,568.70K,1.02%,5.92,0.010186845,0,0,0.010291686,-0.020478531,,,,,0,neutral,0,0
3/7/2025,5.92,5.89,5.95,5.89,125.46K,0.00%,5.92,0,-0.006779687,0,0.010186845,0.010291686,,,,,0,neutral,0,0
3/10/2025,5.88,5.9,5.96,5.85,832.12K,-0.68%,5.88,-0.006779687,0.016863806,1,0,0.010186845,,,,,0,neutral,0,0
3/11/2025,5.98,5.92,5.98,5.84,518.70K,1.70%,5.98,0.016863806,-0.008396355,0,-0.006779687,0,,,,,0,neutral,0,0
3/12/2025,5.93,5.95,5.96,5.9,281.55K,-0.84%,5.93,-0.008396355,0.005046268,1,0.016863806,-0.006779687,,,,,0,neutral,0,0
3/13/2025,5.96,5.95,5.97,5.9,212.79K,0.51%,5.96,0.005046268,-0.001679262,0,-0.008396355,0.016863806,,,,,0,neutral,0,0
3/14/2025,5.95,5.96,5.97,5.95,1.28M,-0.17%,5.95,-0.001679262,0.001679262,1,0.005046268,-0.008396355,,,,,0,neutral,0,0
3/17/2025,5.96,5.95,5.97,5.91,760.87K,0.17%,5.96,0.001679262,-0.00842465,0,-0.001679262,0.005046268,,,,,0,neutral,0,0
3/18/2025,5.91,5.93,5.94,5.86,414.02K,-0.84%,5.91,-0.00842465,0,0,0.001679262,-0.001679262,,,,,0,neutral,0,0
3/19/2025,5.91,5.9,5.94,5.86,148.96K,0.00%,5.91,0,0.003378382,1,-0.00842465,0.001679262,SNG.RO,project_Iernut,Extra technical services for Iernut CCGT project,Board approves an addendum that increases the contract value for extra GE technical services.,1,positive,1,1
3/20/2025,5.93,5.9,5.93,5.89,113.09K,0.34%,5.93,0.003378382,-0.003378382,0,0,-0.00842465,,,,,0,neutral,0,0
3/21/2025,5.91,5.94,5.94,5.9,324.69K,-0.34%,5.91,-0.003378382,0.010101096,1,0.003378382,0,,,,,0,neutral,0,0
3/24/2025,5.97,5.91,5.97,5.9,1.03M,1.02%,5.97,0.010101096,0,0,-0.003378382,0.003378382,,,,,0,neutral,0,0
3/25/2025,5.97,5.95,5.98,5.93,213.54K,0.00%,5.97,0,0.010000083,1,0.010101096,-0.003378382,SNG.RO,project_NeptunDeep,Start of drilling in Neptun Deep,OMV Petrom and Romgaz announce the start of drilling for Pelican Sud and Domino gas fields.,1,positive,1,1
3/26/2025,6.03,5.97,6.07,5.93,689.01K,1.01%,6.03,0.010000083,0.001657001,1,0,0.010101096,,,,,0,neutral,0,0
3/27/2025,6.04,6.03,6.07,6.01,172.83K,0.17%,6.04,0.001657001,0,0,0.010000083,0,,,,,0,neutral,0,0
3/28/2025,6.04,6,6.04,5.98,5.55M,0.00%,6.04,0,-0.006644543,0,0.001657001,0.010000083,,,,,0,neutral,0,0
3/31/2025,6,6.01,6.04,5.97,1.23M,-0.66%,6,-0.006644543,0.001665279,1,0,0.001657001,,,,,0,neutral,0,0
4/1/2025,6.01,6,6.04,5.98,1.25M,0.17%,6.01,0.001665279,0,0,-0.006644543,0,,,,,0,neutral,0,0
4/2/2025,6.01,6.01,6.02,6,540.44K,0.00%,6.01,0,-0.001665279,0,0.001665279,-0.006644543,,,,,0,neutral,0,0
4/3/2025,6,5.98,6.02,5.95,510.02K,-0.17%,6,-0.001665279,-0.023609866,0,0,0.001665279,,,,,0,neutral,0,0
4/4/2025,5.86,5.98,5.99,5.85,1.34M,-2.33%,5.86,-0.023609866,-0.027683429,0,-0.001665279,0,,,,,0,neutral,0,0
4/7/2025,5.7,5.75,5.78,5.5,881.86K,-2.73%,5.7,-0.027683429,0.039558038,1,-0.023609866,-0.001665279,,,,,0,neutral,0,0
4/8/2025,5.93,5.8,5.93,5.76,719.81K,4.04%,5.93,0.039558038,-0.044835095,0,-0.027683429,-0.023609866,,,,,0,neutral,0,0
4/9/2025,5.67,5.87,5.88,5.67,440.00K,-4.38%,5.67,-0.044835095,0.031252544,1,0.039558038,-0.027683429,,,,,0,neutral,0,0
4/10/2025,5.85,5.95,5.96,5.85,269.28K,3.17%,5.85,0.031252544,0.01020417,1,-0.044835095,0.039558038,,,,,0,neutral,0,0
4/11/2025,5.91,5.85,5.95,5.83,471.42K,1.03%,5.91,0.01020417,0.011774737,1,0.031252544,-0.044835095,,,,,0,neutral,0,0
4/14/2025,5.98,5.95,6,5.92,300.16K,1.18%,5.98,0.011774737,0,0,0.01020417,0.031252544,SNG.RO,AGM_governance,AGM approves 2025 budget and board changes,"AGM approves the 2025 budget, revokes two board members and appoints two provisional members.",0,neutral,1,1
4/15/2025,5.98,5.98,5.99,5.97,248.77K,0.00%,5.98,0,-0.003350087,0,0.011774737,0.01020417,,,,,0,neutral,0,0
4/16/2025,5.96,5.98,5.98,5.93,136.28K,-0.33%,5.96,-0.003350087,0,0,0,0.011774737,SNG.RO,governance,New Board chair and committees,Board appoints Dumitru Chisăliță as chair and updates advisory committees.,0,neutral,1,1
4/17/2025,5.96,5.96,5.98,5.92,296.41K,0.00%,5.96,0,0.003350087,1,-0.003350087,0,,,,,0,neutral,0,0
4/22/2025,5.98,5.96,5.98,5.92,467.15K,0.34%,5.98,0.003350087,0,0,0,-0.003350087,,,,,0,neutral,0,0
4/23/2025,5.98,5.98,6,5.97,74.27K,0.00%,5.98,0,-0.003350087,0,0.003350087,0,,,,,0,neutral,0,0
4/24/2025,5.96,5.99,6,5.95,239.62K,-0.33%,5.96,-0.003350087,0,0,0,0.003350087,,,,,0,neutral,0,0
4/25/2025,5.96,5.97,5.99,5.95,193.55K,0.00%,5.96,0,0.001676446,1,-0.003350087,0,,,,,0,neutral,0,0
4/28/2025,5.97,5.97,5.98,5.95,198.86K,0.17%,5.97,0.001676446,0,0,0,-0.003350087,,,,,0,neutral,0,0
4/29/2025,5.97,5.97,5.98,5.93,1.09M,0.00%,5.97,0,-0.003355708,0,0.001676446,0,SNG.RO,dividend,Dividend 0.1568 RON per share approved,AGM approves a total gross dividend of 0.1568 RON per share for shareholders.,-1,negative,1,1
4/30/2025,5.95,5.97,5.97,5.93,251.91K,-0.34%,5.95,-0.003355708,0,0,0,0.001676446,,,,,0,neutral,0,0
5/2/2025,5.95,5.95,5.96,5.95,229.76K,0.00%,5.95,0,-0.025533302,0,-0.003355708,0,,,,,0,neutral,0,0
5/5/2025,5.8,5.7,5.95,5.61,1.26M,-2.52%,5.8,-0.025533302,-0.005185837,0,0,-0.003355708,,,,,0,neutral,0,0
5/6/2025,5.77,5.78,5.79,5.71,750.63K,-0.52%,5.77,-0.005185837,0.005185837,1,-0.025533302,0,,,,,0,neutral,0,0
5/7/2025,5.8,5.74,5.8,5.71,1.78M,0.52%,5.8,0.005185837,-0.006920443,0,-0.005185837,-0.025533302,,,,,0,neutral,0,0
5/8/2025,5.76,5.78,5.78,5.73,598.14K,-0.69%,5.76,-0.006920443,-0.0104713,0,0.005185837,-0.005185837,,,,,0,neutral,0,0
5/9/2025,5.7,5.76,5.76,5.7,189.40K,-1.04%,5.7,-0.0104713,0.020834087,1,-0.006920443,0.005185837,,,,,0,neutral,0,0
5/12/2025,5.82,5.71,5.82,5.7,449.46K,2.11%,5.82,0.020834087,0.0051414,1,-0.0104713,-0.006920443,,,,,0,neutral,0,0
5/13/2025,5.85,5.82,5.9,5.8,556.67K,0.52%,5.85,0.0051414,-0.0051414,0,0.020834087,-0.0104713,,,,,0,neutral,0,0
5/14/2025,5.82,5.85,5.85,5.8,69.82K,-0.51%,5.82,-0.0051414,-0.008628181,0,0.0051414,0.020834087,SNG.RO,governance,Board member resignation,"Board takes note of Cornel Benchea resigning as provisional director, effective 15 May 2025.",-1,negative,1,1
5/15/2025,5.77,5.77,5.78,5.61,339.50K,-0.86%,5.77,-0.008628181,0.018884681,1,-0.0051414,0.0051414,,,,,0,neutral,0,0
5/16/2025,5.88,5.76,5.88,5.76,200.93K,1.91%,5.88,0.018884681,0.010152371,1,-0.008628181,-0.0051414,,,,,0,neutral,0,0
5/19/2025,5.94,5.96,6,5.9,347.21K,1.02%,5.94,0.010152371,0.001682086,1,0.018884681,-0.008628181,,,,,0,neutral,0,0
5/20/2025,5.95,5.94,6.01,5.92,1.90M,0.17%,5.95,0.001682086,-0.006745388,0,0.010152371,0.018884681,,,,,0,neutral,0,0
5/21/2025,5.91,5.96,6,5.9,92.62K,-0.67%,5.91,-0.006745388,0.021758181,1,0.001682086,0.010152371,,,,,0,neutral,0,0
5/22/2025,6.04,5.99,6.05,5.96,153.60K,2.20%,6.04,0.021758181,-0.016694879,0,-0.006745388,0.001682086,,,,,0,neutral,0,0
5/23/2025,5.94,6.04,6.08,5.94,117.28K,-1.66%,5.94,-0.016694879,0.026579638,1,0.021758181,-0.006745388,,,,,0,neutral,0,0
5/26/2025,6.1,6.05,6.1,5.97,428.90K,2.69%,6.1,0.026579638,0.014646316,1,-0.016694879,0.021758181,,,,,0,neutral,0,0
5/27/2025,6.19,6.13,6.27,6.11,145.74K,1.48%,6.19,0.014646316,0.008045096,1,0.026579638,-0.016694879,,,,,0,neutral,0,0
5/28/2025,6.24,6.2,6.25,6.1,62.09K,0.81%,6.24,0.008045096,0.028437935,1,0.014646316,0.026579638,,,,,0,neutral,0,0
5/29/2025,6.42,6.24,6.43,6.21,338.05K,2.88%,6.42,0.028437935,0.061906556,1,0.008045096,0.014646316,,,,,0,neutral,0,0
5/30/2025,6.83,6.43,6.83,6.43,930.53K,6.39%,6.83,0.061906556,0.004382768,1,0.028437935,0.008045096,,,,,0,neutral,0,0
6/2/2025,6.86,6.8,6.89,6.6,216.55K,0.44%,6.86,0.004382768,0.014472033,1,0.061906556,0.028437935,,,,,0,neutral,0,0
6/3/2025,6.96,6.84,7,6.65,594.51K,1.46%,6.96,0.014472033,-0.011560822,0,0.004382768,0.061906556,,,,,0,neutral,0,0
6/4/2025,6.88,7,7,6.8,294.92K,-1.15%,6.88,-0.011560822,0.001452433,1,0.014472033,0.004382768,,,,,0,neutral,0,0
6/5/2025,6.89,6.87,6.98,6.8,513.21K,0.15%,6.89,0.001452433,0.004344685,1,-0.011560822,0.014472033,,,,,0,neutral,0,0
6/6/2025,6.92,6.89,6.95,6.81,187.20K,0.44%,6.92,0.004344685,-0.016023649,0,0.001452433,-0.011560822,,,,,0,neutral,0,0
6/10/2025,6.81,6.9,6.91,6.8,298.46K,-1.59%,6.81,-0.016023649,0,0,0.004344685,0.001452433,,,,,0,neutral,0,0
6/11/2025,6.81,6.77,6.81,6.7,83.67K,0.00%,6.81,0,0.001467352,1,-0.016023649,0.004344685,,,,,0,neutral,0,0
6/12/2025,6.82,6.8,6.83,6.71,121.43K,0.15%,6.82,0.001467352,0.00438918,1,0,-0.016023649,,,,,0,neutral,0,0
6/13/2025,6.85,6.83,6.86,6.8,109.86K,0.44%,6.85,0.00438918,0.005822433,1,0.001467352,0,SNG.RO,operations,Closure of Drobeta Turnu Severin branch,Board approves closing and deregistering the Drobeta Turnu Severin branch.,1,positive,1,1
6/16/2025,6.89,6.86,6.89,6.75,164.23K,0.58%,6.89,0.005822433,0.005788728,1,0.00438918,0.001467352,SNG.RO,rating,Fitch confirms BBB- rating,Fitch Ratings maintains the company’s BBB- rating with negative outlook.,1,positive,1,1
6/17/2025,6.93,6.88,6.93,6.75,305.91K,0.58%,6.93,0.005788728,0.001441961,1,0.005822433,0.00438918,,,,,0,neutral,0,0
6/18/2025,6.94,6.93,6.94,6.85,109.47K,0.14%,6.94,0.001441961,-0.004332137,0,0.005788728,0.005822433,,,,,0,neutral,0,0
6/19/2025,6.91,6.93,6.93,6.86,156.76K,-0.43%,6.91,-0.004332137,0.012940511,1,0.001441961,0.005788728,,,,,0,neutral,0,0
6/20/2025,7,6.9,7,6.83,465.67K,1.30%,7,0.012940511,0,0,-0.004332137,0.001441961,,,,,0,neutral,0,0
6/23/2025,7,6.99,7,6.82,1.09M,0.00%,7,0,0.001427552,1,0.012940511,-0.004332137,,,,,0,neutral,0,0
6/24/2025,7.01,6.94,7.01,6.85,486.29K,0.14%,7.01,0.001427552,-0.010035927,0,0,0.012940511,,,,,0,neutral,0,0
6/25/2025,6.94,7.01,7.01,6.93,1.08M,-1.00%,6.94,-0.010035927,0.00431345,1,0.001427552,0,,,,,0,neutral,0,0
6/26/2025,6.97,6.94,6.99,6.9,292.33K,0.43%,6.97,0.00431345,-0.00143575,0,-0.010035927,0.001427552,,,,,0,neutral,0,0
6/27/2025,6.96,6.97,6.98,6.92,153.34K,-0.14%,6.96,-0.00143575,0.007158227,1,0.00431345,-0.010035927,SNG.RO,financing_Iernut,Iernut project financing extended,Addendum to the Iernut financing contract extends availability to 30 June 2026 and updates the schedule.,1,positive,1,1
6/30/2025,7.01,6.96,7.01,6.91,2.56M,0.72%,7.01,0.007158227,-0.001427552,0,-0.00143575,0.00431345,SNG.RO,AGM_governance,AGM approves KPIs and selection plan,AGM approves KPIs for managers and the selection plan for vacant board positions.,0,neutral,1,1
7/1/2025,7,7,7.01,6.95,257.46K,-0.14%,7,-0.001427552,-0.015839064,0,0.007158227,-0.00143575,,,,,0,neutral,0,0
7/2/2025,6.89,7,7.01,6.89,553.96K,-1.57%,6.89,-0.015839064,-0.014620143,0,-0.001427552,0.007158227,,,,,0,neutral,0,0
7/3/2025,6.79,6.85,6.89,6.6,249.20K,-1.45%,6.79,-0.014620143,-0.013343415,0,-0.015839064,-0.001427552,,,,,0,neutral,0,0
7/4/2025,6.7,6.8,6.8,6.7,207.32K,-1.33%,6.7,-0.013343415,0.005952399,1,-0.014620143,-0.015839064,,,,,0,neutral,0,0
7/7/2025,6.74,6.75,6.76,6.6,270.75K,0.60%,6.74,0.005952399,0,0,-0.013343415,-0.014620143,,,,,0,neutral,0,0
7/8/2025,6.74,6.73,6.76,6.67,112.48K,0.00%,6.74,0,0.007391017,1,0.005952399,-0.013343415,,,,,0,neutral,0,0
7/9/2025,6.79,6.76,6.8,6.72,44.11K,0.74%,6.79,0.007391017,0.01607047,1,0,0.005952399,,,,,0,neutral,0,0
7/10/2025,6.9,6.79,6.9,6.79,173.56K,1.62%,6.9,0.01607047,0.002894358,1,0.007391017,0,,,,,0,neutral,0,0
7/11/2025,6.92,6.91,6.98,6.86,153.08K,0.29%,6.92,0.002894358,0.011494379,1,0.01607047,0.007391017,,,,,0,neutral,0,0
7/14/2025,7,6.96,7,6.91,202.16K,1.16%,7,0.011494379,0.011363759,1,0.002894358,0.01607047,,,,,0,neutral,0,0
7/15/2025,7.08,7,7.15,6.98,421.70K,1.14%,7.08,0.011363759,0.03060044,1,0.011494379,0.002894358,,,,,0,neutral,0,0
7/16/2025,7.3,7.09,7.35,7.05,304.69K,3.11%,7.3,0.03060044,0.024358444,1,0.011363759,0.011494379,,,,,0,neutral,0,0
7/17/2025,7.48,7.35,7.53,7.35,205.41K,2.47%,7.48,0.024358444,0.013280408,1,0.03060044,0.011363759,,,,,0,neutral,0,0
7/18/2025,7.58,7.51,7.73,7.5,327.58K,1.34%,7.58,0.013280408,-0.010610179,0,0.024358444,0.03060044,,,,,0,neutral,0,0
7/21/2025,7.5,7.58,7.6,7.45,253.65K,-1.06%,7.5,-0.010610179,-0.020202707,0,0.013280408,0.024358444,,,,,0,neutral,0,0
7/22/2025,7.35,7.49,7.54,7.35,292.04K,-2.00%,7.35,-0.020202707,-0.009569451,0,-0.010610179,0.013280408,,,,,0,neutral,0,0
7/23/2025,7.28,7.41,7.41,7.24,253.40K,-0.95%,7.28,-0.009569451,0.017699577,1,-0.020202707,-0.010610179,,,,,0,neutral,0,0
7/24/2025,7.41,7.38,7.46,7.35,480.07K,1.79%,7.41,0.017699577,0.017391743,1,-0.009569451,-0.020202707,,,,,0,neutral,0,0
7/25/2025,7.54,7.44,7.55,7.41,146.63K,1.75%,7.54,0.017391743,0.001325381,1,0.017699577,-0.009569451,,,,,0,neutral,0,0
7/28/2025,7.55,7.54,7.64,7.35,448.62K,0.13%,7.55,0.001325381,0.010540282,1,0.017391743,0.017699577,,,,,0,neutral,0,0
7/29/2025,7.63,7.55,7.69,7.55,146.33K,1.06%,7.63,0.010540282,0.022035888,1,0.001325381,0.017391743,,,,,0,neutral,0,0
7/30/2025,7.8,7.66,7.8,7.66,244.16K,2.23%,7.8,0.022035888,0.019048195,1,0.010540282,0.001325381,SNG.RO,governance,KPI addenda and Risk Committee updated,Board signs KPI addenda to directors’ mandates and sets a new Risk Management Committee.,1,positive,1,1
7/31/2025,7.95,7.8,8.12,7.8,762.69K,1.92%,7.95,0.019048195,0,0,0.022035888,0.010540282,,,,,0,neutral,0,0
8/1/2025,7.95,8.07,8.1,7.88,200.56K,0.00%,7.95,0,0.001257071,1,0.019048195,0.022035888,,,,,0,neutral,0,0
8/4/2025,7.96,7.99,8.04,7.95,189.21K,0.13%,7.96,0.001257071,0.005012542,1,0,0.019048195,,,,,0,neutral,0,0
8/5/2025,8,7.98,8.05,7.95,158.05K,0.50%,8,0.005012542,0.003742986,1,0.001257071,0,,,,,0,neutral,0,0
8/6/2025,8.03,8,8.04,7.98,130.23K,0.37%,8.03,0.003742986,0.031865441,1,0.005012542,0.001257071,,,,,0,neutral,0,0
8/7/2025,8.29,8.04,8.32,8.04,466.67K,3.24%,8.29,0.031865441,-0.003625382,0,0.003742986,0.005012542,,,,,0,neutral,0,0
8/8/2025,8.26,8.31,8.61,8.25,466.97K,-0.36%,8.26,-0.003625382,0.010836951,1,0.031865441,0.003742986,,,,,0,neutral,0,0
8/11/2025,8.35,8.27,8.37,8.25,256.22K,1.09%,8.35,0.010836951,-0.00841857,0,-0.003625382,0.031865441,,,,,0,neutral,0,0
8/12/2025,8.28,8.35,8.38,8.28,262.09K,-0.84%,8.28,-0.00841857,0.035590945,1,0.010836951,-0.003625382,,,,,0,neutral,0,0
8/13/2025,8.58,8.34,8.59,8.31,246.00K,3.62%,8.58,0.035590945,-0.01408474,0,-0.00841857,0.010836951,,,,,0,neutral,0,0
8/14/2025,8.46,8.58,8.58,8.42,377.26K,-1.40%,8.46,-0.01408474,-0.010695289,0,0.035590945,-0.00841857,,,,,0,neutral,0,0
8/18/2025,8.37,8.5,8.5,8.26,1.36M,-1.06%,8.37,-0.010695289,-0.013229297,0,-0.01408474,0.035590945,,,,,0,neutral,0,0
8/19/2025,8.26,8.4,8.58,8.26,412.29K,-1.31%,8.26,-0.013229297,0.019185241,1,-0.010695289,-0.01408474,,,,,0,neutral,0,0
8/20/2025,8.42,8.27,8.43,8.27,101.89K,1.94%,8.42,0.019185241,0.00237248,1,-0.013229297,-0.010695289,,,,,0,neutral,0,0
8/21/2025,8.44,8.48,8.5,8.42,554.29K,0.24%,8.44,0.00237248,0.005906692,1,0.019185241,-0.013229297,,,,,0,neutral,0,0
8/22/2025,8.49,8.41,8.49,8.41,677.35K,0.59%,8.49,0.005906692,-0.01184848,0,0.00237248,0.019185241,,,,,0,neutral,0,0
8/25/2025,8.39,8.49,8.5,8.39,131.75K,-1.18%,8.39,-0.01184848,-0.022906366,0,0.005906692,0.00237248,,,,,0,neutral,0,0
8/26/2025,8.2,8.42,8.48,8.2,406.98K,-2.26%,8.2,-0.022906366,-0.009804,0,-0.01184848,0.005906692,,,,,0,neutral,0,0
8/27/2025,8.12,8.22,8.28,8.1,217.91K,-0.98%,8.12,-0.009804,-0.004938282,0,-0.022906366,-0.01184848,,,,,0,neutral,0,0
8/28/2025,8.08,8.17,8.17,8.06,147.92K,-0.49%,8.08,-0.004938282,-0.012453461,0,-0.009804,-0.022906366,,,,,0,neutral,0,0
8/29/2025,7.98,8.1,8.11,7.98,318.95K,-1.24%,7.98,-0.012453461,-0.026668247,0,-0.004938282,-0.009804,,,,,0,neutral,0,0
9/1/2025,7.77,7.98,8,7.65,512.07K,-2.63%,7.77,-0.026668247,-0.010349381,0,-0.012453461,-0.004938282,,,,,0,neutral,0,0
9/2/2025,7.69,7.75,7.75,7.68,287.98K,-1.03%,7.69,-0.010349381,0.025675351,1,-0.026668247,-0.012453461,,,,,0,neutral,0,0
9/3/2025,7.89,7.69,8,7.68,390.68K,2.60%,7.89,0.025675351,-0.007633625,0,-0.010349381,-0.026668247,,,,,0,neutral,0,0
9/4/2025,7.83,7.91,8.05,7.83,248.51K,-0.76%,7.83,-0.007633625,0.012690526,1,0.025675351,-0.010349381,SNG.RO,corporate_structure,Romgaz Trading SRL in Moldova approved,"EGM approves setting up Romgaz Trading SRL in Chișinău, Republic of Moldova.",1,positive,1,1
9/5/2025,7.93,7.94,8,7.85,170.18K,1.28%,7.93,0.012690526,-0.00126183,0,-0.007633625,0.025675351,,,,,0,neutral,0,0
9/8/2025,7.92,7.93,7.99,7.88,70.02K,-0.13%,7.92,-0.00126183,-0.015267472,0,0.012690526,-0.007633625,,,,,0,neutral,0,0
9/9/2025,7.8,7.93,7.98,7.8,194.97K,-1.52%,7.8,-0.015267472,0,0,-0.00126183,0.012690526,SNG.RO,strategy_renewables,MoU with Electrica on renewables,Romgaz and Electrica sign a memorandum to develop up to 400 MW of renewables and storage.,1,positive,1,1
9/10/2025,7.8,7.91,7.91,7.75,262.62K,0.00%,7.8,0,0.007662873,1,-0.015267472,-0.00126183,,,,,0,neutral,0,0
9/11/2025,7.86,7.84,7.88,7.8,104.00K,0.77%,7.86,0.007662873,0.005076153,1,0,-0.015267472,SNG.RO,project_Iernut,Decision to terminate Iernut CCGT contract,Board agrees to terminate the Iernut CCGT construction contract due to contractor non-compliance.,1,positive,1,1
